id;item;path;name;date;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte1
24;schwurbelarchiv-11I2gdLfJW;;KenFM Ken Jebsen Fanchat Diskussion;3122020;;;;;;
102;schwurbelarchiv-4R1BV8YA4t;;KenFM 🎙 Podcast-Kanal;3042020;;;;;;
182;schwurbelarchiv-8AortHrNPy;;COMPACTTV;22112020;;;;;;
214;schwurbelarchiv-9T0Kpu6phZ;;kla.TV - Die anderen Nachrichten!;23082020;;;;;;
227;schwurbelarchiv-APJu23H8ht;;Oliver Janich öffentlich;23082020;;;;;;
308;schwurbelarchiv-EHCO11xzLu;;Oliver Janich öffentlich;4042020;;;;;;
467;schwurbelarchiv-KesheeJe5E;;eingeSCHENKt.TV - investigativ alternativ direkt unabhängig GEZfrei;3042020;;;;;;
511;schwurbelarchiv-MLZQrayr99;;Rubikon — Das Magazin für die kritische Masse 📣 www.rubikon.news;3042020;;;;;;
543;schwurbelarchiv-OG223gfZo4;;Busfahrer Thomas;22102020;;;;;;
592;schwurbelarchiv-QDHQA6B3qC;;Schrang TV Talk des Fankanals;2062021;;;;;;
678;schwurbelarchiv-UJ8kah9CZj;;KenFM Diskussion;3122020;;;;;;
721;schwurbelarchiv-WRyhi5Knwj;;Wochenblick;22112020;;;;;;
901;schwurbelarchiv-eZv2No2KQs;;GAMESOFTRUTH mit Claudia Zimmermann - Investigativ, Klartext, Anders;26102020;;;;;;
938;schwurbelarchiv-g6Sbm9HSmG;;KenFM NfSK Diskussionsgruppe;3122020;;;;;;
974;schwurbelarchiv-hWuaGw7Vzd;;Wochenblick;14052021;;;;;;
984;schwurbelarchiv-hvszkAi7ot;;WOCHENBLICK - Artikel;14052021;;;;;;
1012;schwurbelarchiv-jJLzTjlNCM;;Wissensmanufaktur TV mit Andreas Popp, Rico Albrecht und weitere wissenschaftliche Beiräte;5042020;;;;;;
1034;schwurbelarchiv-k8vmjIscYR;;Oliver Janich Diskussion;19112020;;;;;;
1119;schwurbelarchiv-o15IGEXAaY;;Fair Talk;26122020;;;;;;
1205;schwurbelarchiv-ruNhYuq4Y7;;Oliver Janich Kanal;28112020;;;;;;
1270;schwurbelarchiv-ututk83oc5;;KenFM Diskussion™🗣;3122020;;;;;;
1300;schwurbelarchiv-wGPXdWqAk4;;Busfahrer Thomas Brauner;10062021;;;;;;
1307;schwurbelarchiv-wYvg4Mc3tM;;kla.TV - Die anderen Nachrichten!;16052021;;;;;;
1367;schwurbelarchiv-ywJOVnHZvG;;Schrang TV Spirit - Ausschließlich für bereits Erwachte!;2062021;;;;;;
2693;schwurbelarchiv-rH4nOgS7ox;;🔵 Martin Sellner [TELEGRAMELITE];21052021;;;;;;
2721;schwurbelarchiv-Pf72zuehkg;;Björn Banane;26052021;;;;;;
2764;schwurbelarchiv-NfwaAp5wCB;;KenFM;17062021;;;;;;
3131;schwurbelarchiv-sHxDPjEugv;;Aktivist Mann;1012021;;;;;;
3207;schwurbelarchiv-I1N40OgNXx;;OvalMedia Hinweise;1012021;;;;;;
3223;schwurbelarchiv-ZdP4Zju79S;;OVALmedia Chat;1012021;;;;;;
3225;schwurbelarchiv-cQHLbDGk2n;;OVALmedia;1012021;;;;;;
3437;schwurbelarchiv-WOZ57YT8tO;;Aktivist Mann;25062021;;;;;;
3494;schwurbelarchiv-7Vn4WipLQw;;Aktivist Mann Chat;25062021;;;;;;
